開獎日期,獎號1,獎號2,獎號3,獎號4,獎號5
"2025,01/01",2,7,8,10,14
"2025,01/02",12,26,30,32,33
"2025,01/03",5,6,8,11,14
"2025,01/04",8,9,12,21,23
"2025,01/06",7,21,22,27,35
"2025,01/07",13,23,27,31,37
"2025,01/08",12,18,20,24,31
"2025,01/09",2,8,19,21,29
"2025,01/10",9,11,15,18,20
"2025,01/11",5,12,13,19,34
"2025,01/13",4,12,28,35,38
"2025,01/14",10,22,31,35,36
"2025,01/15",3,21,22,26,39
"2025,01/16",9,13,23,29,34
"2025,01/17",4,7,8,24,26
"2025,01/18",7,12,18,35,39
"2025,01/20",3,12,19,32,34
"2025,01/21",1,14,18,19,22
"2025,01/22",6,19,23,26,30
"2025,01/23",4,7,17,22,35
"2025,01/24",5,9,12,14,31
"2025,01/25",1,7,32,36,37
"2025,01/26",7,8,9,17,20
"2025,01/27",1,6,16,26,31
"2025,01/28",13,22,23,24,35
"2025,01/29",4,11,25,31,32
"2025,01/30",9,11,14,18,27
"2025,01/31",1,5,9,14,26
"2025,02/01",1,10,23,32,37
"2025,02/02",9,16,29,32,39
"2025,02/03",4,16,21,23,37
"2025,02/04",1,8,16,19,31
"2025,02/05",6,7,8,14,39
"2025,02/06",3,7,22,29,34
"2025,02/07",16,21,26,29,37
"2025,02/08",8,24,28,37,38
"2025,02/09",4,5,27,35,37
"2025,02/10",12,22,26,28,35
"2025,02/11",10,18,19,27,28
"2025,02/12",2,6,19,28,29
"2025,02/13",2,7,11,20,30
"2025,02/14",11,17,29,34,39
"2025,02/15",6,8,10,21,26
"2025,02/17",9,15,29,30,39
"2025,02/18",10,12,13,19,33
"2025,02/19",3,27,28,33,38
"2025,02/20",3,7,17,24,27
"2025,02/21",11,13,18,30,35
"2025,02/22",4,7,11,19,22
"2025,02/24",8,17,18,24,36
"2025,02/25",5,11,26,33,35
"2025,02/26",3,11,24,27,36
"2025,02/27",11,12,20,28,29
"2025,02/28",5,27,31,38,39
"2025,03/01",4,16,29,31,34
"2025,03/03",8,9,12,22,27
"2025,03/04",11,18,21,23,36
"2025,03/05",15,23,29,36,39
"2025,03/06",8,12,15,18,34
"2025,03/07",9,10,19,33,35
"2025,03/08",17,23,24,27,35
"2025,03/10",2,4,7,25,37
"2025,03/11",2,21,24,27,31
"2025,03/12",6,14,27,30,33
"2025,03/13",3,4,7,11,30
"2025,03/14",6,8,18,19,28
"2025,03/15",8,15,25,26,34
"2025,03/17",7,11,13,26,30
"2025,03/18",3,13,15,19,25
"2025,03/19",11,15,25,29,34
"2025,03/20",2,16,17,27,32
"2025,03/21",5,9,15,20,26
"2025,03/22",5,13,16,24,28
"2025,03/24",7,25,32,34,35
"2025,03/25",4,20,24,27,38
"2025,03/26",1,10,12,32,35
"2025,03/27",5,25,33,36,37
"2025,03/28",13,24,25,36,39
"2025,03/29",4,9,12,17,27
"2025,03/31",7,10,13,23,26
"2025,04/01",5,13,17,19,31
"2025,04/02",4,8,29,32,34
"2025,04/03",5,16,23,31,39
"2025,04/04",3,6,7,36,38
"2025,04/05",12,13,14,15,24
"2025,04/07",1,6,19,26,33
"2025,04/08",6,17,18,19,32
"2025,04/09",4,6,14,24,38
"2025,04/10",14,19,22,26,28
"2025,04/11",15,17,26,27,35
"2025,04/12",9,11,15,25,31
"2025,04/14",9,10,22,30,33
"2025,04/15",2,3,16,27,39
"2025,04/16",7,22,25,29,38
"2025,04/17",3,6,23,24,37
"2025,04/18",7,24,28,31,36
"2025,04/19",14,19,21,26,36
"2025,04/21",2,6,12,14,24
"2025,04/22",8,19,23,27,31
"2025,04/23",1,16,19,27,33
"2025,04/24",4,6,25,29,35
"2025,04/25",1,5,24,33,36
"2025,04/26",20,23,32,35,38
"2025,04/28",6,12,17,38,39
"2025,04/29",1,7,13,18,35
"2025,04/30",22,26,30,31,38
"2025,05/01",8,19,25,27,39
"2025,05/02",5,12,20,24,28
"2025,05/03",1,10,19,27,31
"2025,05/05",4,5,8,10,11
"2025,05/06",6,11,18,37,39
"2025,05/07",7,9,21,28,38
"2025,05/08",7,10,26,28,33
"2025,05/09",4,11,19,21,34
"2025,05/10",6,9,20,27,36
"2025,05/12",8,10,26,27,38
"2025,05/13",4,10,20,23,29
"2025,05/14",1,14,18,24,38
"2025,05/15",2,4,15,25,36
"2025,05/16",2,13,24,27,39
"2025,05/17",3,9,24,30,39
"2025,05/19",4,7,14,25,35
"2025,05/20",10,22,23,26,38
"2025,05/21",10,16,31,34,38
"2025,05/22",1,8,17,21,35
"2025,05/23",13,16,24,27,32
"2025,05/24",14,18,29,35,36
"2025,05/26",8,15,21,24,34
"2025,05/27",4,8,23,33,38
"2025,05/28",9,13,15,24,33
"2025,05/29",4,18,28,30,31
"2025,05/30",14,20,21,34,35
"2025,05/31",14,18,20,29,35
"2025,06/02",2,7,11,16,21
"2025,06/03",7,20,21,25,34
"2025,06/04",20,30,33,36,38
"2025,06/05",7,14,19,35,39
"2025,06/06",2,12,14,25,30
"2025,06/07",4,16,22,23,32
"2025,06/09",8,20,27,29,30
"2025,06/10",7,12,16,29,38
"2025,06/11",4,17,19,21,31
"2025,06/12",11,14,15,19,32
"2025,06/13",4,5,10,12,38
"2025,06/14",2,15,17,23,37
"2025,06/16",6,8,9,33,36
"2025,06/17",2,12,14,26,37
"2025,06/18",7,12,23,26,36
"2025,06/19",12,14,15,17,24
"2025,06/20",2,5,8,17,24
"2025,06/21",3,8,15,24,39
"2025,06/23",3,14,22,31,38
"2025,06/24",1,10,12,20,31
"2025,06/25",2,11,28,30,37
"2025,06/26",1,6,13,24,29
"2025,06/27",3,4,10,19,37
"2025,06/28",12,22,29,33,34
"2025,06/30",7,8,11,23,31
"2025,07/01",6,8,11,19,38
"2025,07/02",6,13,21,24,38
"2025,07/03",10,21,22,26,27
"2025,07/04",5,24,31,36,39
"2025,07/05",8,14,22,24,35
"2025,07/07",14,25,27,35,38
"2025,07/08",3,4,24,27,33
"2025,07/09",13,18,27,28,37
"2025,07/10",2,3,4,34,36
"2025,07/11",9,26,37,38,39
"2025,07/12",3,19,20,21,26
"2025,07/14",8,11,12,29,36
"2025,07/15",9,16,21,22,38
"2025,07/16",15,18,24,31,32
2025,"01/                                                                                                                                   
        01",01,02,07,08
2025,"01/                                                                                                                                 
        02",02,12,26,30
2025,"01/                                                                                                                                 
        03",03,05,06,08
2025,"01/                                                                                                                                 
        04",04,08,09,12
2025,"01/                                                                                                                                 
        06",05,07,21,22
2025,"01/                                                                                                                                 
        07",06,13,23,27
2025,"01/                                                                                                                                 
        08",07,12,18,20
2025,"01/                                                                                                                                 
        09",08,02,08,19
2025,"01/                                                                                                                                 
        10",09,09,11,15
2025,"01/                                                                                                                                 
        11",10,05,12,13
2025,"01/                                                                                                                                 
        13",11,04,12,28
2025,"01/                                                                                                                                 
        14",12,10,22,31
2025,"01/                                                                                                                                 
        15",13,03,21,22
2025,"01/                                                                                                                                 
        16",14,09,13,23
2025,"01/                                                                                                                                 
        17",15,04,07,08
2025,"01/                                                                                                                                 
        18",16,07,12,18
2025,"01/                                                                                                                                 
        20",17,03,12,19
2025,"01/                                                                                                                                 
        21",18,01,14,18
2025,"01/                                                                                                                                 
        22",19,06,19,23
2025,"01/                                                                                                                                 
        23",20,04,07,17
2025,"01/                                                                                                                                 
        24",21,05,09,12
2025,"01/                                                                                                                                 
        25",22,01,07,32
2025,"01/                                                                                                                                 
        26",23,07,08,09
2025,"01/                                                                                                                                 
        27",24,01,06,16
2025,"01/                                                                                                                                 
        28",25,13,22,23
2025,"01/                                                                                                                                 
        29",26,04,11,25
2025,"01/                                                                                                                                 
        30",27,09,11,14
2025,"01/                                                                                                                                 
        31",28,01,05,09
2025,"02/                                                                                                                                 
        01",29,01,10,23
2025,"02/                                                                                                                                 
        02",30,09,16,29
2025,"02/                                                                                                                                 
        03",31,04,16,21
2025,"02/                                                                                                                                 
        04",32,01,08,16
2025,"02/                                                                                                                                 
        05",33,06,07,08
2025,"02/                                                                                                                                 
        06",34,03,07,22
2025,"02/                                                                                                                                 
        07",35,16,21,26
2025,"02/                                                                                                                                 
        08",36,08,24,28
2025,"02/                                                                                                                                 
        09",37,04,05,27
2025,"02/                                                                                                                                 
        10",38,12,22,26
2025,"02/                                                                                                                                 
        11",39,10,18,19
2025,"02/                                                                                                                                 
        12",40,02,06,19
2025,"02/                                                                                                                                 
        13",41,02,07,11
2025,"02/                                                                                                                                 
        14",42,11,17,29
2025,"02/                                                                                                                                 
        15",43,06,08,10
2025,"02/                                                                                                                                 
        17",44,09,15,29
2025,"02/                                                                                                                                 
        18",45,10,12,13
2025,"02/                                                                                                                                 
        19",46,03,27,28
2025,"02/                                                                                                                                 
        20",47,03,07,17
2025,"02/                                                                                                                                 
        21",48,11,13,18
2025,"02/                                                                                                                                 
        22",49,04,07,11
2025,"02/                                                                                                                                 
        24",50,08,17,18
2025,"02/                                                                                                                                 
        25",51,05,11,26
2025,"02/                                                                                                                                 
        26",52,03,11,24
2025,"02/                                                                                                                                 
        27",53,11,12,20
2025,"02/                                                                                                                                 
        28",54,05,27,31
2025,"03/                                                                                                                                 
        01",55,04,16,29
2025,"03/                                                                                                                                 
        03",56,08,09,12
2025,"03/                                                                                                                                 
        04",57,11,18,21
2025,"03/                                                                                                                                 
        05",58,15,23,29
2025,"03/                                                                                                                                 
        06",59,08,12,15
2025,"03/                                                                                                                                 
        07",60,09,10,19
2025,"03/                                                                                                                                 
        08",61,17,23,24
2025,"03/                                                                                                                                 
        10",62,02,04,07
2025,"03/                                                                                                                                 
        11",63,02,21,24
2025,"03/                                                                                                                                 
        12",64,06,14,27
2025,"03/                                                                                                                                 
        13",65,03,04,07
2025,"03/                                                                                                                                 
        14",66,06,08,18
2025,"03/                                                                                                                                 
        15",67,08,15,25
2025,"03/                                                                                                                                 
        17",68,07,11,13
2025,"03/                                                                                                                                 
        18",69,03,13,15
2025,"03/                                                                                                                                 
        19",70,11,15,25
2025,"03/                                                                                                                                 
        20",71,02,16,17
2025,"03/                                                                                                                                 
        21",72,05,09,15
2025,"03/                                                                                                                                 
        22",73,05,13,16
2025,"03/                                                                                                                                 
        24",74,07,25,32
2025,"03/                                                                                                                                 
        25",75,04,20,24
2025,"03/                                                                                                                                 
        26",76,01,10,12
2025,"03/                                                                                                                                 
        27",77,05,25,33
2025,"03/                                                                                                                                 
        28",78,13,24,25
2025,"03/                                                                                                                                 
        29",79,04,09,12
2025,"03/                                                                                                                                 
        31",80,07,10,13
2025,"04/                                                                                                                                 
        01",81,05,13,17
2025,"04/                                                                                                                                 
        02",82,04,08,29
2025,"04/                                                                                                                                 
        03",83,05,16,23
2025,"04/                                                                                                                                 
        04",84,03,06,07
2025,"04/                                                                                                                                 
        05",85,12,13,14
2025,"04/                                                                                                                                 
        07",86,01,06,19
2025,"04/                                                                                                                                 
        08",87,06,17,18
2025,"04/                                                                                                                                 
        09",88,04,06,14
2025,"04/                                                                                                                                 
        10",89,14,19,22
2025,"04/                                                                                                                                 
        11",90,15,17,26
2025,"04/                                                                                                                                 
        12",91,09,11,15
2025,"04/                                                                                                                                 
        14",92,09,10,22
2025,"04/                                                                                                                                 
        15",93,02,03,16
2025,"04/                                                                                                                                 
        16",94,07,22,25
2025,"04/                                                                                                                                 
        17",95,03,06,23
2025,"04/                                                                                                                                 
        18",96,07,24,28
2025,"04/                                                                                                                                 
        19",97,14,19,21
2025,"04/                                                                                                                                 
        21",98,02,06,12
2025,"04/                                                                                                                                 
        22",99,08,19,23
2025,"04/                                                                                                                                 
        23",100,01,16,19
2025,"04/                                                                                                                                 
        24",101,04,06,25
2025,"04/                                                                                                                                 
        25",102,01,05,24
2025,"04/                                                                                                                                 
        26",103,20,23,32
2025,"04/                                                                                                                                 
        28",104,06,12,17
2025,"04/                                                                                                                                 
        29",105,01,07,13
2025,"04/                                                                                                                                 
        30",106,22,26,30
2025,"05/                                                                                                                                 
        01",107,08,19,25
2025,"05/                                                                                                                                 
        02",108,05,12,20
2025,"05/                                                                                                                                 
        03",109,01,10,19
2025,"05/                                                                                                                                 
        05",110,04,05,08
2025,"05/                                                                                                                                 
        06",111,06,11,18
2025,"05/                                                                                                                                 
        07",112,07,09,21
2025,"05/                                                                                                                                 
        08",113,07,10,26
2025,"05/                                                                                                                                 
        09",114,04,11,19
2025,"05/                                                                                                                                 
        10",115,06,09,20
2025,"05/                                                                                                                                 
        12",116,08,10,26
2025,"05/                                                                                                                                 
        13",117,04,10,20
2025,"05/                                                                                                                                 
        14",118,01,14,18
2025,"05/                                                                                                                                 
        15",119,02,04,15
2025,"05/                                                                                                                                 
        16",120,02,13,24
2025,"05/                                                                                                                                 
        17",121,03,09,24
2025,"05/                                                                                                                                 
        19",122,04,07,14
2025,"05/                                                                                                                                 
        20",123,10,22,23
2025,"05/                                                                                                                                 
        21",124,10,16,31
2025,"05/                                                                                                                                 
        22",125,01,08,17
2025,"05/                                                                                                                                 
        23",126,13,16,24
2025,"05/                                                                                                                                 
        24",127,14,18,29
2025,"05/                                                                                                                                 
        26",128,08,15,21
2025,"05/                                                                                                                                 
        27",129,04,08,23
2025,"05/                                                                                                                                 
        28",130,09,13,15
2025,"05/                                                                                                                                 
        29",131,04,18,28
2025,"05/                                                                                                                                 
        30",132,14,20,21
2025,"05/                                                                                                                                 
        31",133,14,18,20
2025,"06/                                                                                                                                 
        02",134,02,07,11
2025,"06/                                                                                                                                 
        03",135,07,20,21
2025,"06/                                                                                                                                 
        04",136,20,30,33
2025,"06/                                                                                                                                 
        05",137,07,14,19
2025,"06/                                                                                                                                 
        06",138,02,12,14
2025,"06/                                                                                                                                 
        07",139,04,16,22
2025,"06/                                                                                                                                 
        09",140,08,20,27
2025,"06/                                                                                                                                 
        10",141,07,12,16
2025,"06/                                                                                                                                 
        11",142,04,17,19
2025,"06/                                                                                                                                 
        12",143,11,14,15
2025,"06/                                                                                                                                 
        13",144,04,05,10
2025,"06/                                                                                                                                 
        14",145,02,15,17
2025,"06/                                                                                                                                 
        16",146,06,08,09
2025,"06/                                                                                                                                 
        17",147,02,12,14
2025,"06/                                                                                                                                 
        18",148,07,12,23
2025,"06/                                                                                                                                 
        19",149,12,14,15
2025,"06/                                                                                                                                 
        20",150,02,05,08
2025,"06/                                                                                                                                 
        21",151,03,08,15
2025,"06/                                                                                                                                 
        23",152,03,14,22
2025,"06/                                                                                                                                 
        24",153,01,10,12
2025,"06/                                                                                                                                 
        25",154,02,11,28
2025,"06/                                                                                                                                 
        26",155,01,06,13
2025,"06/                                                                                                                                 
        27",156,03,04,10
2025,"06/                                                                                                                                 
        28",157,12,22,29
2025,"06/                                                                                                                                 
        30",158,07,08,11
2025,"07/                                                                                                                                 
        01",159,06,08,11
2025,"07/                                                                                                                                 
        02",160,06,13,21
2025,"07/                                                                                                                                 
        03",161,10,21,22
2025,"07/                                                                                                                                 
        04",162,05,24,31
2025,"07/                                                                                                                                 
        05",163,08,14,22
2025,"07/                                                                                                                                 
        07",164,14,25,27
2025,"07/                                                                                                                                 
        08",165,03,04,24
2025,"07/                                                                                                                                 
        09",166,13,18,27
2025,"07/                                                                                                                                 
        10",167,02,03,04
2025,"07/                                                                                                                                 
        11",168,09,26,37
2025,"07/                                                                                                                                 
        12",169,03,19,20
2025,"07/                                                                                                                                 
        14",170,08,11,12
2025,"07/                                                                                                                                 
        15",171,09,16,21
2025,"07/                                                                                                                                 
        16",171,15,18,24
2025,"07/                                                                                                                                 
        17",172,04,06,11
